id,weblink,game,category,comment,date,time,player,status,system,emulated
9me253m7,https://www.speedrun.com/The_Legend_of_Zelda/run/9me253m7,369p0g1l,wdmw952q,,2014-09-17,2142,qjnzdwjm,verified,jm95z9ol,false
yvgd8doy,https://www.speedrun.com/The_Legend_of_Zelda/run/yvgd8doy,369p0g1l,wdmw952q,Blue ring route.,2018-04-27,2648,1xy031mj,verified,jm95z9ol,true
y2q1845y,https://www.speedrun.com/The_Legend_of_Zelda/run/y2q1845y,369p0g1l,mke069d6,,2018-07-19,5707,pj0og19j,verified,jm95z9ol,true
pm33g66m,https://www.speedrun.com/The_Legend_of_Zelda/run/pm33g66m,369p0g1l,wdmw952q,,2016-02-10,2309,y8dwze9j,verified,jm95z9ol,true
dy44qd3y,https://www.speedrun.com/The_Legend_of_Zelda/run/dy44qd3y,369p0g1l,wdmw952q,"Decent run throughout.  Did 5 before 2.  Probably my best 9 ever, but improvable.",2017-02-02,1862,18qrg97j,verified,jm95z9ol,false
mk4ee21y,https://www.speedrun.com/The_Legend_of_Zelda/run/mk4ee21y,369p0g1l,wdmw952q,,2017-09-28,2027,zx7oyvj7,verified,jm95z9ol,false
y8qp4r5y,https://www.speedrun.com/The_Legend_of_Zelda/run/y8qp4r5y,369p0g1l,wdmw952q,"Not sub 40, but better than was. Sorry for the audio fails. ",2018-02-04,2433,0jm3gzn8,verified,jm95z9ol,false
1zxepqmx,https://www.speedrun.com/pkmnredblue/run/1zxepqmx,46w22l6r,wk6oork1,,2014-03-08,6900,v810m3xp,rejected,,true
y4511nkm,https://www.speedrun.com/pkmnredblue/run/y4511nkm,46w22l6r,wk6oork1,"RETIMED: Timer was paused for ~30 seconds at the beginning of Route 3.

20 minutes shaved off my last run, not too shabby! Hoping to sub 2 hours eventually.",2017-06-03,7700,98r76pwj,verified,3167d6q2,true
m3dx544z,https://www.speedrun.com/pkmnredblue/run/m3dx544z,46w22l6r,jdr77526,Really happy with this run. now to push into the top 10 using bulba!!!!,2017-11-07,786,68w0rrlj,verified,3167d6q2,true
z11d69rz,https://www.speedrun.com/pkmnredblue/run/z11d69rz,46w22l6r,wk6oork1,,2018-06-01,6444,e8enm680,verified,3167d6q2,true
oy25pv9y,https://www.speedrun.com/pkmnredblue/run/oy25pv9y,46w22l6r,wk6oork1,"The livesplit timer is inaccurate, this was a problem Dailyleaf was having a few weeks ago.",2015-05-25,6900,0jmvrzj1,rejected,,true
1zx7pjey,https://www.speedrun.com/pkmnredblue/run/1zx7pjey,46w22l6r,jdr77526,,2016-03-04,1139,pj0723xw,verified,3167d6q2,true
pzglg3jm,https://www.speedrun.com/pkmnredblue/run/pzglg3jm,46w22l6r,wk6oork1,,2016-08-16,7028,v48ggp8p,verified,,true
8y8l5owm,https://www.speedrun.com/pkmnredblue/run/8y8l5owm,46w22l6r,jdr77526,"still awful at menu navigation, had a terrible viridian forest, and messed up ditto, but still made a PB im satisfied with",2017-01-30,934,18qovpqj,verified,3167d6q2,true
pzgnwnvy,https://www.speedrun.com/dk64/run/pzgnwnvy,9d385g1l,n2y7472o,"I would have gotten sub 45 if not for the major mistakes (Mad Jack fall, Aztec Early and Cranky Clip). I'm still trying to get used to the Free Camera as opposed to the Follow Camera.",2014-01-17,2886,v8lp9q7j,verified,w89rwelk,false
8y85kldy,https://www.speedrun.com/dk64/run/8y85kldy,9d385g1l,n2y7472o,wow,2017-03-22,1791,qj20dl6x,rejected,w89rwelk,false
yl974xky,https://www.speedrun.com/dk64/run/yl974xky,9d385g1l,n2y7472o,Run starts at 33:17,2017-10-15,2812,qj21zgp8,verified,w89rwelk,false
yvgk6jey,https://www.speedrun.com/dk64/run/yvgk6jey,9d385g1l,7kj153k3,,2018-02-03,49144,dx3dw528,verified,w89rwelk,false
8y81x01z,https://www.speedrun.com/dk64/run/8y81x01z,9d385g1l,7kj153k3,Pretty nice run. Missed Diddy's medal in Aztec and had to backtrack. Galleon and Castle were dreadful,2015-04-04,26229,5j52egjv,verified,w89rwelk,false
emk8r23m,https://www.speedrun.com/dk64/run/emk8r23m,9d385g1l,q25o0rwk,First run of the new route,2015-07-30,3937,qjodk3x6,verified,w89rwelk,false
