id,weblink,game,name,category,comment,date,time,player,status,system,emulated,splits,category_name,player_name
9me253m7,https://www.speedrun.com/The_Legend_of_Zelda/run/9me253m7,369p0g1l,The Legend of Zelda,wdmw952q,,2014-09-17,2142,qjnzdwjm,verified,jm95z9ol,false,,Any% No Up+A,PresJPolk
9yoegdzx,https://www.speedrun.com/The_Legend_of_Zelda/run/9yoegdzx,369p0g1l,The Legend of Zelda,wdmw952q,,2014-08-30,1837,,verified,jm95z9ol,false,,Any% No Up+A,
wzpoegmq,https://www.speedrun.com/The_Legend_of_Zelda/run/wzpoegmq,369p0g1l,The Legend of Zelda,wdmw952q,,2014-10-18,1841,qj233nxk,verified,jm95z9ol,false,,Any% No Up+A,lackattack24
pyd4xjyn,https://www.speedrun.com/The_Legend_of_Zelda/run/pyd4xjyn,369p0g1l,The Legend of Zelda,wdmw952q,,2014-09-14,2031,e8e6y6j0,verified,jm95z9ol,false,,Any% No Up+A,Error72
nz1649me,https://www.speedrun.com/The_Legend_of_Zelda/run/nz1649me,369p0g1l,The Legend of Zelda,mkezv8k6,,2014-01-20,2205,,verified,jm95z9ol,false,,Second Quest No Up+A,
emkwn1m6,https://www.speedrun.com/The_Legend_of_Zelda/run/emkwn1m6,369p0g1l,The Legend of Zelda,7dgrx7k4,,2014-11-15,14710,qjnzdwjm,verified,jm95z9ol,false,,Extreme Rules,PresJPolk
9yo591zx,https://www.speedrun.com/The_Legend_of_Zelda/run/9yo591zx,369p0g1l,The Legend of Zelda,wdmw952q,,2014-08-27,2398,48gegpjp,verified,nzelreqp,false,,Any% No Up+A,Darko
8m7vvem0,https://www.speedrun.com/The_Legend_of_Zelda/run/8m7vvem0,369p0g1l,The Legend of Zelda,7dgrx7k4,,2014-11-27,14351,qjnzdwjm,verified,jm95z9ol,false,,Extreme Rules,PresJPolk
9mepq3y7,https://www.speedrun.com/The_Legend_of_Zelda/run/9mepq3y7,369p0g1l,The Legend of Zelda,wkpo9g2r,This is really old but at the time I was really happy with it.,2012-12-31,3499,qjnzdwjm,verified,jm95z9ol,false,,100% No Up+A,PresJPolk
dy45w4km,https://www.speedrun.com/The_Legend_of_Zelda/run/dy45w4km,369p0g1l,The Legend of Zelda,7dgrx7k4,Muted for first 30 minutes :(,2014-12-06,5885,qj233nxk,verified,jm95z9ol,false,,Extreme Rules,lackattack24
1zxvxkgy,https://www.speedrun.com/The_Legend_of_Zelda/run/1zxvxkgy,369p0g1l,The Legend of Zelda,wdmw952q,Added a second to what the final timer shows because I started the timer a hair late.  Also GG twitch muting videos,2015-01-07,1995,e8e6y6j0,verified,jm95z9ol,false,,Any% No Up+A,Error72
9mr88w7y,https://www.speedrun.com/The_Legend_of_Zelda/run/9mr88w7y,369p0g1l,The Legend of Zelda,wdmw952q,Lost 10 seconds in 6.,2015-02-07,1825,qj233nxk,verified,jm95z9ol,false,,Any% No Up+A,lackattack24
6yj48dgy,https://www.speedrun.com/The_Legend_of_Zelda/run/6yj48dgy,369p0g1l,The Legend of Zelda,wdmw952q,,2015-02-10,1816,,verified,jm95z9ol,false,,Any% No Up+A,
1zq3jx1y,https://www.speedrun.com/The_Legend_of_Zelda/run/1zq3jx1y,369p0g1l,The Legend of Zelda,wdmw952q,,2015-02-21,2996,98r56wx1,verified,jm95z9ol,true,,Any% No Up+A,Muk1000
0y6pej6m,https://www.speedrun.com/The_Legend_of_Zelda/run/0y6pej6m,369p0g1l,The Legend of Zelda,wdmw952q,,2015-02-25,2836,98r56wx1,verified,jm95z9ol,true,,Any% No Up+A,Muk1000
8yvjnl6y,https://www.speedrun.com/The_Legend_of_Zelda/run/8yvjnl6y,369p0g1l,The Legend of Zelda,wdmw952q,5:07,2015-02-27,1806,qj233nxk,verified,jm95z9ol,false,,Any% No Up+A,lackattack24
7z03gj8z,https://www.speedrun.com/The_Legend_of_Zelda/run/7z03gj8z,369p0g1l,The Legend of Zelda,wdmw952q,"First real run finished, probably going to cut a few more minutes before moving on to a harder route. Shoutouts to Twitch muting videos",2015-03-10,2802,qj26e6xk,verified,jm95z9ol,true,,Any% No Up+A,elgranjerry
7z015v4y,https://www.speedrun.com/The_Legend_of_Zelda/run/7z015v4y,369p0g1l,The Legend of Zelda,wdmw952q,,2015-03-23,2490,98r56wx1,verified,jm95z9ol,true,,Any% No Up+A,Muk1000
emk28gxm,https://www.speedrun.com/The_Legend_of_Zelda/run/emk28gxm,369p0g1l,The Legend of Zelda,wdmw952q,,2015-03-24,2478,98r56wx1,verified,jm95z9ol,true,,Any% No Up+A,Muk1000
nz1j8erz,https://www.speedrun.com/The_Legend_of_Zelda/run/nz1j8erz,369p0g1l,The Legend of Zelda,wdmw952q,,2015-03-26,2436,98r56wx1,verified,jm95z9ol,true,,Any% No Up+A,Muk1000
7z01rqoy,https://www.speedrun.com/The_Legend_of_Zelda/run/7z01rqoy,369p0g1l,The Legend of Zelda,wdmw952q,,2015-03-27,2380,98r56wx1,verified,jm95z9ol,true,,Any% No Up+A,Muk1000
2yw4jwnz,https://www.speedrun.com/The_Legend_of_Zelda/run/2yw4jwnz,369p0g1l,The Legend of Zelda,wdmw952q,sub-30,2015-03-31,1796,qj233nxk,verified,jm95z9ol,false,,Any% No Up+A,lackattack24
8m7qlg5z,https://www.speedrun.com/The_Legend_of_Zelda/run/8m7qlg5z,369p0g1l,The Legend of Zelda,mke069d6,,2015-04-17,3670,qjnzdwjm,verified,jm95z9ol,false,,Swordless,PresJPolk
7z01049y,https://www.speedrun.com/The_Legend_of_Zelda/run/7z01049y,369p0g1l,The Legend of Zelda,wdmw952q,"My first run. I liked the part were I got damage boosted into a keydoor in Level 8, so I had to pickup an extra key in 9.",2015-04-22,2404,48gr77xp,verified,jm95z9ol,false,,Any% No Up+A,EvilAsh25
pzgwn9vy,https://www.speedrun.com/The_Legend_of_Zelda/run/pzgwn9vy,369p0g1l,The Legend of Zelda,w20w88dn,,2014-07-06,2096,dx3pk28l,verified,nzelreqp,false,,Any%,Cmnatchaha
0y65pn0z,https://www.speedrun.com/The_Legend_of_Zelda/run/0y65pn0z,369p0g1l,The Legend of Zelda,wdmw952q,,2014-12-22,1942,qj2z1ojk,verified,jm95z9ol,true,,Any% No Up+A,KHANanaphone
1zqwwp8z,https://www.speedrun.com/The_Legend_of_Zelda/run/1zqwwp8z,369p0g1l,The Legend of Zelda,wdmw952q,,2014-10-30,2692,68wl23jg,verified,jm95z9ol,false,,Any% No Up+A,barnowl
9mrk104y,https://www.speedrun.com/The_Legend_of_Zelda/run/9mrk104y,369p0g1l,The Legend of Zelda,wdmw952q,"5 was meh, and 7 split had a very unnecessary rupee hunt.  Still a PB by almost two minutes, thanks in large part to many blessings from the Bomb Fairy.",2015-05-19,2103,18q2o78n,verified,jm95z9ol,false,,Any% No Up+A,Xarnax42
emk3kdxz,https://www.speedrun.com/The_Legend_of_Zelda/run/emk3kdxz,369p0g1l,The Legend of Zelda,7dgrx7k4,,2015-05-25,5439,qj233nxk,verified,jm95z9ol,false,,Extreme Rules,lackattack24
oy2523jy,https://www.speedrun.com/The_Legend_of_Zelda/run/oy2523jy,369p0g1l,The Legend of Zelda,mkezv8k6,"Not bad, WR next",2015-06-04,2225,qj233nxk,verified,jm95z9ol,false,,Second Quest No Up+A,lackattack24
emk3rg5z,https://www.speedrun.com/The_Legend_of_Zelda/run/emk3rg5z,369p0g1l,The Legend of Zelda,wdmw952q,,2015-06-14,2209,0jmwwyx1,verified,jm95z9ol,true,,Any% No Up+A,Eunos
9mrkwxdy,https://www.speedrun.com/The_Legend_of_Zelda/run/9mrkwxdy,369p0g1l,The Legend of Zelda,wdmw952q,I should use this site as well as ZSR,2015-06-17,1819,zx7lwyj7,verified,jm95z9ol,false,,Any% No Up+A,cantaloupeme
9mrkw0dy,https://www.speedrun.com/The_Legend_of_Zelda/run/9mrkw0dy,369p0g1l,The Legend of Zelda,wdmw952q,,2015-06-13,2227,18qo7qjn,verified,jm95z9ol,true,,Any% No Up+A,MikeStone1979
pm3584dy,https://www.speedrun.com/The_Legend_of_Zelda/run/pm3584dy,369p0g1l,The Legend of Zelda,wdmw952q,"RTA time: 36:32.30
SDA time: 36:30.46

Splits are in RTA",2015-06-18,2190,zx753y87,verified,jm95z9ol,false,,Any% No Up+A,PupilEX
oy256o5y,https://www.speedrun.com/The_Legend_of_Zelda/run/oy256o5y,369p0g1l,The Legend of Zelda,wdmw952q,,2015-06-18,1894,qj2z1ojk,verified,jm95z9ol,true,,Any% No Up+A,KHANanaphone
9meoro2z,https://www.speedrun.com/The_Legend_of_Zelda/run/9meoro2z,369p0g1l,The Legend of Zelda,wdmw952q,"Uses unusual routing conceived by twitch.tv/crystalsaver : level 2 into recorder and white sword, then Levels 1, 3, 4 and 7 into a world wrap for hearts and finishing up 5 before the route returns to normal.  
My heart was pounding from halfway through 6 until the end, having dumped runs in 6 and 8 earlier in the day.  Thanks to my viewers for their support.

I play this game on a pack-in Dell keyboard. <3",2015-06-23,2039,0jmwwyx1,verified,jm95z9ol,true,https://splits.io/api/v3/runs/6de,Any% No Up+A,Eunos
1zxdk7ky,https://www.speedrun.com/The_Legend_of_Zelda/run/1zxdk7ky,369p0g1l,The Legend of Zelda,wdmw952q,"34:50 + 1.84. Slow 9, left a container heart in 6.",2015-06-30,2092,0jmg7ej1,verified,jm95z9ol,true,,Any% No Up+A,breastickle
